rep	gen	x	y	Nf	Nm	W	Wstd	Homoz	Hstd	DelMut	DelMutSd
0	0	0	0	30	23	0.999099	0.00385871	0	0	0.0943396	0.292301
0	0	0	1	19	27	0.999673	0.00180379	0	0	0.0434783	0.203931
0	0	0	2	22	23	0.997908	0.0070151	0	0	0.177778	0.528683
0	0	0	3	25	31	0.998801	0.00563669	0	0	0.142857	0.349927
0	0	0	4	21	23	0.999269	0.00293971	0	0	0.0681818	0.252058
0	0	0	5	22	23	0.999048	0.00472386	0	0	0.0666667	0.249444
0	0	0	6	28	29	0.998339	0.00791868	0	0	0.105263	0.359542
0	0	0	7	28	25	0.998382	0.00631884	0	0	0.0754717	0.264151
0	0	0	8	26	22	0.998735	0.00421436	0	0	0.145833	0.407716
0	0	0	9	27	35	0.998807	0.00478472	0	0	0.112903	0.363888
0	0	0	10	29	29	0.998995	0.00429337	0	0	0.0862069	0.280669
0	0	0	11	32	25	0.99861	0.00547977	0	0	0.122807	0.328216
0	0	0	12	31	17	0.999295	0.00293326	0	0	0.0625	0.242061
0	0	0	13	26	26	0.998596	0.00535452	0	0	0.0961538	0.294802
0	0	0	14	17	21	0.999028	0.00365664	0	0	0.0789474	0.269657
0	0	0	15	28	36	0.997132	0.00919301	0	0	0.109375	0.312109
0	0	0	16	21	26	0.999236	0.00323419	0	0	0.0638298	0.244449
0	0	0	17	29	20	0.999083	0.00384299	0	0	0.0816327	0.273804
0	0	0	18	17	26	0.996284	0.0124492	0	0	0.186047	0.58093
0	0	0	19	22	30	0.997826	0.00651148	0	0	0.173077	0.378314
0	0	1	0	24	27	0.999881	0.000839572	0	0	0.0196078	0.138648
0	0	1	1	25	24	0.997284	0.00735858	0	0	0.183673	0.387218
0	0	1	2	30	25	0.999133	0.00484953	0	0	0.0363636	0.187193
0	0	1	3	23	15	0.999788	0.00129025	0	0	0.0263158	0.160073
0	0	1	4	20	27	0.997472	0.0087957	0	0	0.148936	0.460283
0	0	1	5	30	29	0.998267	0.00615855	0	0	0.101695	0.302247
0	0	1	6	19	37	0.998337	0.0052192	0	0	0.125	0.330719
0	0	1	7	24	32	0.999533	0.00221206	0	0	0.0535714	0.22517
0	0	1	8	22	21	0.998231	0.00639891	0	0	0.139535	0.408138
0	0	1	9	31	29	0.997304	0.00955033	0	0	0.133333	0.339935
0	0	1	10	26	24	0.998089	0.00683835	0	0	0.16	0.417612
0	0	1	11	19	33	0.998517	0.00750145	0	0	0.0769231	0.330859
0	0	1	12	19	18	0.998142	0.00730495	0	0	0.0810811	0.27296
0	0	1	13	17	19	0.997888	0.00536489	0	0	0.194444	0.460642
0	0	1	14	31	29	0.999316	0.00376686	0	0	0.0333333	0.179505
0	0	1	15	21	32	0.999169	0.00469524	0	0	0.0566038	0.231084
0	0	1	16	24	30	0.998364	0.00578777	0	0	0.12963	0.335896
0	0	1	17	21	26	0.999063	0.00409182	0	0	0.0638298	0.244449
0	0	1	18	20	32	0.997632	0.00828542	0	0	0.134615	0.393644
0	0	1	19	30	16	0.998854	0.00524068	0	0	0.108696	0.311257
0	0	2	0	34	26	0.996789	0.00819386	0	0	0.216667	0.486198
0	0	2	1	24	23	0.998236	0.00571972	0	0	0.12766	0.33371
0	0	2	2	28	20	0.999916	0.000572579	0	0	0.0208333	0.142826
0	0	2	3	23	23	0.998337	0.00766603	0	0	0.0652174	0.246909
0	0	2	4	25	16	0.997965	0.00701341	0	0	0.146341	0.416781
0	0	2	5	32	18	0.999914	0.000605472	0	0	0.02	0.14
0	0	2	6	26	29	0.999255	0.00353239	0	0	0.0727273	0.259688
0	0	2	7	19	25	0.998461	0.0044562	0	0	0.181818	0.440698
0	0	2	8	24	23	0.998503	0.00682245	0	0	0.0638298	0.244449
0	0	2	9	29	22	0.997636	0.00780052	0	0	0.137255	0.344116
0	0	2	10	23	27	0.999444	0.00201539	0	0	0.1	0.3
0	0	2	11	29	26	0.999688	0.00143514	0	0	0.0545455	0.227091
0	0	2	12	31	33	0.99804	0.00760021	0	0	0.078125	0.268368
0	0	2	13	19	45	0.998234	0.00790789	0	0	0.09375	0.291481
0	0	2	14	27	25	0.999239	0.00456073	0	0	0.0384615	0.192308
0	0	2	15	24	29	0.999461	0.00276275	0	0	0.0754717	0.264151
0	0	2	16	17	21	0.997541	0.008473	0	0	0.105263	0.306892
0	0	2	17	25	23	0.997926	0.0082025	0	0	0.145833	0.352939
0	0	2	18	19	26	0.999615	0.00209969	0	0	0.0666667	0.249444
0	0	2	19	20	21	0.998348	0.00516993	0	0	0.121951	0.327229
0	0	3	0	17	30	0.997655	0.00814768	0	0	0.106383	0.308327
0	0	3	1	24	20	0.99906	0.00616145	0	0	0.0227273	0.149033
0	0	3	2	29	30	0.999388	0.00330847	0	0	0.0677966	0.251397
0	0	3	3	27	20	0.999068	0.00310746	0	0	0.0851064	0.27904
0	0	3	4	21	28	0.999799	0.000611545	0	0	0.122449	0.327804
0	0	3	5	30	21	0.998262	0.00804147	0	0	0.0784314	0.268849
0	0	3	6	15	25	0.998738	0.00743732	0	0	0.05	0.217945
0	0	3	7	23	26	0.998074	0.00542732	0	0	0.163265	0.42122
0	0	3	8	19	20	0.998081	0.00587467	0	0	0.128205	0.334318
0	0	3	9	19	29	0.997686	0.00764474	0	0	0.145833	0.352939
0	0	3	10	24	27	0.997481	0.0082266	0	0	0.117647	0.32219
0	0	3	11	21	27	0.997978	0.00762549	0	0	0.125	0.388641
0	0	3	12	26	21	0.999633	0.00222279	0	0	0.0425532	0.201848
0	0	3	13	15	30	0.997673	0.00938043	0	0	0.111111	0.378431
0	0	3	14	21	31	0.998395	0.00544464	0	0	0.0961538	0.294802
0	0	3	15	22	34	0.998294	0.00713549	0	0	0.107143	0.309295
0	0	3	16	26	27	0.99897	0.00518835	0	0	0.0943396	0.292301
0	0	3	17	21	32	0.998405	0.00604628	0	0	0.113208	0.316846
0	0	3	18	22	24	0.999957	0.000285825	0	0	0.0217391	0.145831
0	0	3	19	22	18	0.997787	0.00564012	0	0	0.175	0.379967
0	0	4	0	24	30	0.999612	0.00164213	0	0	0.0555556	0.229061
0	0	4	1	22	33	0.9996	0.00246085	0	0	0.0545455	0.227091
0	0	4	2	22	22	0.999543	0.00299738	0	0	0.0227273	0.149033
0	0	4	3	31	23	0.997722	0.00810092	0	0	0.12963	0.387121
0	0	4	4	26	39	0.998102	0.00616983	0	0	0.138462	0.345384
0	0	4	5	26	25	0.999905	0.000552301	0	0	0.0588235	0.235294
0	0	4	6	24	21	0.999796	0.00135496	0	0	0.0222222	0.147406
0	0	4	7	32	24	0.999007	0.00476928	0	0	0.0714286	0.257539
0	0	4	8	19	21	0.998863	0.00461105	0	0	0.125	0.330719
0	0	4	9	30	16	0.998522	0.00617901	0	0	0.0869565	0.281771
0	0	4	10	21	26	0.998182	0.00775841	0	0	0.12766	0.33371
0	0	4	11	29	25	0.997967	0.00965784	0	0	0.111111	0.368514
0	0	4	12	21	34	0.999426	0.00410333	0	0	0.0545455	0.296536
0	0	4	13	22	33	0.998135	0.00655502	0	0	0.163636	0.416201
0	0	4	14	29	28	0.998792	0.00412097	0	0	0.105263	0.306892
0	0	4	15	23	25	0.999334	0.00308366	0	0	0.0625	0.242061
0	0	4	16	24	26	0.998003	0.00603619	0	0	0.16	0.366606
0	0	4	17	26	29	0.997755	0.00808563	0	0	0.127273	0.333278
0	0	4	18	35	21	0.996985	0.00953259	0	0	0.178571	0.467025
0	0	4	19	28	27	0.999265	0.00283146	0	0	0.0727273	0.259688
0	0	5	0	18	26	0.9969	0.0101747	0	0	0.113636	0.317369
0	0	5	1	17	19	0.997907	0.00648999	0	0	0.166667	0.372678
0	0	5	2	24	31	0.999167	0.00291281	0	0	0.145455	0.352559
0	0	5	3	27	30	0.999796	0.00151501	0	0	0.0350877	0.184002
0	0	5	4	22	29	0.997003	0.00798531	0	0	0.196078	0.397029
0	0	5	5	29	28	0.999457	0.0028719	0	0	0.0526316	0.223297
0	0	5	6	21	25	0.998878	0.00434874	0	0	0.0869565	0.281771
0	0	5	7	28	30	0.998282	0.00903891	0	0	0.0689655	0.314153
0	0	5	8	23	27	0.999538	0.00196667	0	0	0.06	0.237487
0	0	5	9	29	29	0.997415	0.00828557	0	0	0.12069	0.325766
0	0	5	10	29	23	0.99986	0.000842772	0	0	0.0384615	0.192308
0	0	5	11	20	30	0.999143	0.00477998	0	0	0.1	0.360555
0	0	5	12	25	21	0.998694	0.00575725	0	0	0.0869565	0.281771
0	0	5	13	28	30	0.99975	0.00135023	0	0	0.0689655	0.314153
0	0	5	14	20	29	0.999649	0.00240239	0	0	0.0408163	0.197864
0	0	5	15	19	19	1	0	0	0	0	0
0	0	5	16	38	25	0.998398	0.004915	0	0	0.126984	0.377631
0	0	5	17	29	26	0.998976	0.00527478	0	0	0.0909091	0.344976
0	0	5	18	21	23	0.996642	0.009449	0	0	0.181818	0.385695
0	0	5	19	22	30	0.998742	0.00578173	0	0	0.0576923	0.233161
0	0	6	0	21	32	0.999559	0.00259786	0	0	0.0377358	0.190557
0	0	6	1	28	20	0.999458	0.00315541	0	0	0.0625	0.242061
0	0	6	2	30	24	0.996861	0.00857118	0	0	0.185185	0.433507
0	0	6	3	20	28	0.999528	0.00261783	0	0	0.0625	0.242061
0	0	6	4	25	19	0.998211	0.00700328	0	0	0.0681818	0.252058
0	0	6	5	25	17	0.996895	0.0101776	0	0	0.166667	0.431866
0	0	6	6	26	25	0.999233	0.00445286	0	0	0.0392157	0.194108
0	0	6	7	23	36	0.997974	0.0057418	0	0	0.152542	0.359546
0	0	6	8	21	28	0.999193	0.00478288	0	0	0.0408163	0.197864
0	0	6	9	36	24	0.999757	0.00186397	0	0	0.0166667	0.128019
0	0	6	10	17	27	0.99753	0.00760423	0	0	0.113636	0.317369
0	0	6	11	23	27	0.998898	0.00611569	0	0	0.16	0.417612
0	0	6	12	40	21	0.998871	0.0053094	0	0	0.0819672	0.274315
0	0	6	13	25	27	0.999781	0.000766283	0	0	0.0769231	0.266469
0	0	6	14	29	18	0.999411	0.0026521	0	0	0.0851064	0.27904
0	0	6	15	28	26	0.99855	0.00681712	0	0	0.12963	0.47322
0	0	6	16	18	23	0.998753	0.00493476	0	0	0.146341	0.353448
0	0	6	17	27	24	0.998207	0.00719496	0	0	0.0980392	0.357272
0	0	6	18	23	27	0.997078	0.00941659	0	0	0.14	0.4005
0	0	6	19	25	21	0.998677	0.00593253	0	0	0.130435	0.336781
0	0	7	0	33	19	0.999634	0.00219992	0	0	0.0961538	0.294802
0	0	7	1	24	27	0.998031	0.00648269	0	0	0.117647	0.32219
0	0	7	2	21	21	0.998383	0.00587818	0	0	0.119048	0.323845
0	0	7	3	27	27	0.998376	0.00660543	0	0	0.0740741	0.261891
0	0	7	4	24	32	0.998136	0.00799847	0	0	0.0892857	0.285156
0	0	7	5	21	20	0.999087	0.00340275	0	0	0.097561	0.29672
0	0	7	6	23	24	0.999113	0.0038625	0	0	0.0638298	0.244449
0	0	7	7	27	23	0.999111	0.00440453	0	0	0.06	0.237487
0	0	7	8	18	18	0.999475	0.00194313	0	0	0.0833333	0.276385
0	0	7	9	33	18	0.997913	0.00593183	0	0	0.156863	0.414092
0	0	7	10	23	27	0.999831	0.00101885	0	0	0.04	0.195959
0	0	7	11	26	18	0.9984	0.00786682	0	0	0.0454545	0.208299
0	0	7	12	27	26	0.998971	0.00425371	0	0	0.0566038	0.231084
0	0	7	13	26	24	0.998217	0.00642902	0	0	0.14	0.346987
0	0	7	14	19	25	0.998713	0.0047395	0	0	0.113636	0.317369
0	0	7	15	19	17	0.998298	0.00518228	0	0	0.138889	0.345831
0	0	7	16	30	22	0.999318	0.00461516	0	0	0.0576923	0.233161
0	0	7	17	20	34	0.999697	0.00162065	0	0	0.0555556	0.229061
0	0	7	18	27	25	0.998668	0.00551653	0	0	0.0961538	0.294802
0	0	7	19	38	31	0.998471	0.00599669	0	0	0.101449	0.301923
0	0	8	0	23	30	0.998484	0.00630366	0	0	0.132075	0.477325
0	0	8	1	27	17	0.999738	0.00114324	0	0	0.0681818	0.252058
0	0	8	2	22	23	0.998784	0.00509998	0	0	0.0888889	0.354164
0	0	8	3	20	33	0.997287	0.00949066	0	0	0.113208	0.316846
0	0	8	4	25	20	0.997659	0.00768309	0	0	0.111111	0.31427
