rep	gen	x	y	s	h	freq
0	10	0	0	0.154182	0.276491	0.00862069
0	10	0	0	0.0283206	0.698149	0.00862069
0	10	0	0	0.0162987	0.771438	0.0258621
0	10	0	0	0.00444653	0.608632	0.12069
0	10	0	0	0.0231275	0.592441	0.00862069
0	10	0	0	0.00523946	0.732065	0.00862069
0	10	0	0	0.0450588	0.233709	0.0775862
0	10	0	0	0.142029	0.354575	0.00862069
0	10	0	0	0.130394	0.0971866	0.00862069
0	10	0	0	0.0595513	0.149371	0.00862069
0	10	0	0	0.0537945	0.23444	0.00862069
0	10	0	0	0.00112441	0.00782551	0.00862069
0	10	0	0	0.0784473	0.366289	0.00862069
0	10	0	0	0.0410879	0.552455	0.0431034
0	10	0	0	0.0154825	0.652844	0.00862069
0	10	0	0	0.0432298	0.419527	0.0258621
0	10	0	0	0.0139908	0.417761	0.0431034
0	10	0	0	0.0133944	0.656753	0.0862069
0	10	0	0	0.00955054	0.498165	0.00862069
0	10	0	0	0.0139805	0.585409	0.0517241
0	10	0	0	0.0425524	0.264576	0.0431034
0	10	0	0	0.0868777	0.157241	0.0689655
0	10	0	0	0.0217296	0.598082	0.00862069
0	10	0	0	0.0507934	0.209476	0.0172414
0	10	0	0	0.0224149	0.416853	0.0344828
0	10	0	0	0.137084	0.317717	0.0344828
0	10	0	0	0.000575663	0.393026	0.0172414
0	10	0	0	0.0194408	0.350699	0.0172414
0	10	0	0	0.0808554	0.385099	0.00862069
0	10	0	0	0.00715458	0.537151	0.0431034
0	10	0	0	0.0320498	0.102809	0.0172414
0	10	0	0	0.0199102	0.478131	0.0431034
0	10	0	0	0.018187	0.63464	0.0431034
0	10	0	0	0.0118941	0.898031	0.00862069
0	10	0	0	0.156313	0.161751	0.0775862
0	10	0	0	0.00899681	0.272671	0.284483
0	10	0	0	0.0166056	0.0507274	0.00862069
0	10	0	0	0.116674	0.164609	0.00862069
0	10	0	0	0.133504	0.380263	0.0172414
0	10	0	0	0.0239661	0.567566	0.0344828
0	10	0	0	0.0272207	0.755139	0.00862069
0	10	0	0	0.0291602	0.640039	0.0775862
0	10	0	0	0.0124566	0.269376	0.00862069
0	10	0	0	0.00573852	0.508254	0.112069
0	10	0	0	0.0083045	0.47205	0.0172414
0	10	0	0	0.0174287	0.00790648	0.00862069
0	10	0	0	0.0520216	0.530554	0.00862069
0	10	0	0	0.00978659	0.152035	0.0775862
0	10	0	0	0.0701313	0.152118	0.00862069
0	10	0	0	0.0311545	0.088765	0.00862069
0	10	0	0	0.0426148	0.21855	0.00862069
0	10	0	0	0.0249355	0.693603	0.0172414
0	10	0	0	0.00658055	0.250684	0.0344828
0	10	0	0	0.0209562	0.567783	0.0258621
0	10	0	0	0.118496	0.235748	0.0172414
0	10	0	0	0.0660697	0.314023	0.0172414
0	10	0	0	0.0599478	0.400842	0.00862069
0	10	0	0	0.0694382	0.546842	0.00862069
0	10	0	0	0.0323766	0.0783651	0.00862069
0	10	0	0	0.149016	0.188156	0.00862069
0	10	0	0	0.0762809	0.282287	0.0603448
0	10	0	0	0.0132267	0.703967	0.0689655
0	10	0	0	0.0466443	0.171651	0.0172414
0	10	0	0	0.00182173	0.300494	0.00862069
0	10	0	0	0.0361242	0.553577	0.00862069
0	10	0	0	0.037715	0.0334904	0.275862
0	10	0	0	0.05218	0.197185	0.00862069
0	10	0	0	0.0906735	0.101386	0.00862069
0	10	0	0	0.011678	0.714623	0.00862069
0	10	0	0	0.00245599	0.478716	0.0603448
0	10	0	0	0.0427816	0.032656	0.00862069
0	10	0	0	0.0166666	0.824856	0.0517241
0	10	0	0	0.0253722	0.562013	0.0431034
0	10	0	0	0.0510506	0.602432	0.0258621
0	10	0	0	0.0490592	0.570479	0.00862069
0	10	0	0	0.0941345	0.291064	0.00862069
0	10	0	0	0.0822307	0.111171	0.00862069
0	10	0	0	0.100353	0.177546	0.0344828
0	10	0	0	0.0495976	0.241736	0.0344828
0	10	0	0	0.253938	0.0405699	0.00862069
0	10	0	0	0.014691	0.678556	0.00862069
0	10	0	0	0.0032468	0.412419	0.0172414
0	10	0	0	0.00330426	0.835016	0.00862069
0	10	0	0	0.0468978	0.186258	0.00862069
0	10	0	0	0.02387	0.240619	0.0172414
0	10	0	0	0.0406926	0.459896	0.00862069
0	10	0	0	0.00730046	0.3407	0.0775862
0	10	0	0	0.0665239	0.075712	0.0258621
0	10	0	0	0.0658191	0.264336	0.00862069
0	10	0	0	0.00426365	0.492573	0.00862069
0	10	0	0	0.0392378	0.104312	0.0172414
0	10	0	0	0.0173087	0.48057	0.00862069
0	10	0	0	0.0395397	0.383744	0.00862069
0	10	0	0	0.0575468	0.230217	0.0258621
0	10	0	0	0.0825826	0.37296	0.00862069
0	10	0	0	0.0080007	0.373812	0.0517241
0	10	0	0	0.0824592	0.0937415	0.0775862
0	10	0	0	0.0623043	0.176759	0.00862069
0	10	0	0	0.101004	0.317846	0.0258621
0	10	0	0	0.0730024	0.0346745	0.00862069
0	10	0	0	0.0109776	0.388639	0.00862069
0	10	0	0	0.0186116	0.852326	0.00862069
0	10	0	0	0.0991769	0.309522	0.00862069
0	10	0	0	0.00875705	0.837108	0.0172414
0	10	0	0	0.0232764	0.0317423	0.00862069
0	10	0	0	0.0499466	0.285898	0.0172414
0	10	0	0	0.163874	0.00619408	0.0172414
0	10	0	0	0.00932667	0.595651	0.0344828
0	10	0	0	0.0294438	0.356048	0.00862069
0	10	0	0	0.0016951	0.213853	0.00862069
0	10	0	0	0.0151705	0.0210808	0.137931
0	10	0	0	0.0989574	0.265284	0.0172414
0	10	0	0	0.101596	0.0828285	0.0431034
0	10	0	0	0.0805559	0.580486	0.00862069
0	10	0	0	0.0683595	0.136432	0.0517241
0	10	0	0	0.0245903	0.341547	0.00862069
0	10	0	0	0.0332698	0.503144	0.0172414
0	10	0	0	0.00679576	0.525843	0.00862069
0	10	0	0	0.00831653	0.781612	0.00862069
0	10	0	0	0.0249867	0.125547	0.0172414
0	10	0	0	0.071477	0.0707696	0.00862069
0	10	0	0	0.0433606	0.605739	0.137931
0	10	0	0	0.0832646	0.380241	0.00862069
0	10	0	0	0.110386	0.140929	0.0172414
0	10	0	0	0.033808	0.352708	0.00862069
0	10	0	0	0.00377572	0.221999	0.0603448
0	10	0	0	0.0298244	0.203531	0.00862069
0	10	0	0	0.0441361	0.549341	0.0344828
0	10	0	0	0.132935	0.416445	0.0517241
0	10	0	0	0.000185016	0.0952798	0.0172414
0	10	0	0	0.0841055	0.249696	0.00862069
0	10	0	0	0.0399244	0.36256	0.0258621
