rep	gen	x	y	dispersed	W	homoz	Nmut	Nho	pEp
0	0	0	0	0	1	0	0	0	0.222672
0	0	0	0	0	0.992514	0	1	0	0.000273027
0	0	0	0	0	1	0	0	0	0.058655
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.056697
0	0	0	0	0	1	0	0	0	0.0477366
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.13151
0	0	0	0	0	1	0	0	0	0.0729693
0	0	0	0	0	1	0	0	0	0.132275
0	0	0	0	0	1	0	0	0	0.229864
0	0	0	0	0	1	0	0	0	0.0614599
0	0	0	0	0	1	0	0	0	0.126294
0	0	0	0	0	0.990211	0	1	0	0.198602
0	0	0	0	0	1	0	0	0	0.144557
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0964281
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0706411
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0398738
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0293464
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.00363382
0	0	0	0	0	1	0	0	0	0.211623
0	0	0	0	0	1	0	0	0	0.216306
0	0	0	0	0	1	0	0	0	0.175607
0	0	0	0	0	1	0	0	0	0.106593
0	0	0	0	0	1	0	0	0	0.10739
0	0	0	0	0	1	0	0	0	0.0385803
0	0	0	0	0	0.999859	0	1	0	0.00649987
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0802666
0	0	0	0	0	1	0	0	0	0.101883
0	0	0	0	0	1	0	0	0	0.0098532
0	0	0	0	0	1	0	0	0	0.207159
0	0	0	0	0	1	0	0	0	0.113592
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.995324	0	1	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0166364
0	0	0	0	0	0.97434	0	1	0	0
0	0	0	0	0	1	0	0	0	0.094532
0	0	0	1	0	1	0	0	0	0.0742052
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.128424
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.00937862
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.0304149
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.122312
0	0	0	1	0	1	0	0	0	0.0963118
0	0	0	1	0	1	0	0	0	0.0194637
0	0	0	1	0	1	0	0	0	0.00606123
0	0	0	1	0	1	0	0	0	0.0443818
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	0.997021	0	1	0	0
0	0	0	1	0	1	0	0	0	0.171382
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.07371
