rep	gen	x	y	out	W	homoz	Nmut	Nho
0	201	0	0	1	0.969917	0	5	0
0	201	0	0	1	0.926247	0	11	0
0	201	0	0	1	0.911073	0	12	0
0	201	0	0	1	0.943689	0	10	0
0	201	0	0	1	0.939116	0	8	0
0	201	0	0	1	0.904789	2	10	0
0	201	0	0	1	0.967495	0	4	0
0	201	0	0	1	0.931055	3	10	0
0	201	0	0	1	0.932274	0	10	0
0	201	0	0	1	0.972904	0	6	0
0	201	0	0	1	0.926743	0	11	0
0	201	0	0	1	0.953697	0	10	0
0	201	0	0	1	0.945396	0	10	0
0	201	0	0	1	0.882127	0	9	0
0	201	0	0	1	0.937249	0	7	0
0	201	0	0	1	0.946133	1	10	0
0	201	0	0	1	0.949289	43	8	0
0	201	0	0	1	0.945598	0	10	0
0	201	0	0	1	0.927443	0	4	0
0	201	0	0	1	0.902066	0	10	0
0	201	0	0	1	0.958842	0	8	0
0	201	0	0	1	0.925834	0	9	0
0	201	0	0	1	0.970299	0	7	0
0	201	0	0	1	0.925464	0	10	0
0	201	0	0	1	0.908577	45	11	0
0	201	0	0	1	0.872924	0	11	0
0	201	0	0	1	0.95786	0	8	0
0	201	0	0	1	0.902461	0	8	0
0	201	0	0	1	0.936222	0	9	0
0	201	0	0	1	0.906787	0	12	0
0	201	0	0	1	0.960207	0	7	0
0	201	0	0	1	0.938806	0	9	0
0	201	0	0	1	0.960839	0	6	0
0	201	0	0	1	0.933769	0	7	0
0	201	0	0	1	0.959839	1	7	0
0	201	0	0	1	0.898995	0	11	0
0	201	0	0	1	0.920256	0	9	0
0	201	0	0	1	0.896607	0	11	0
0	201	0	0	1	0.910928	0	6	0
0	201	0	0	1	0.925208	0	8	0
0	201	0	0	1	0.959843	1	8	0
0	201	0	0	1	0.905904	0	10	0
0	201	0	0	1	0.948916	0	8	0
0	201	0	0	1	0.93772	0	11	0
0	201	0	0	1	0.943546	0	7	0
0	201	0	0	1	0.966157	0	5	0
0	201	0	0	1	0.927883	1	10	0
0	201	0	0	1	0.931491	0	12	0
0	201	0	0	1	0.93589	10	6	0
0	201	0	0	1	0.911905	0	11	0
0	201	0	0	1	0.968856	0	4	0
0	201	0	0	1	0.885742	0	10	0
0	201	0	0	1	0.923777	0	9	0
0	201	0	0	1	0.964505	6	6	0
0	201	0	0	1	0.951569	0	9	0
0	201	0	0	1	0.930601	14	10	0
