rep	gen	x	y	Nf	Nm	W	Wstd	Homoz	Hstd	DelMut	DelMutSd
0	0	0	0	9	9	0.986714	0.0204326	0	0	0.555556	0.684935
0	0	0	1	11	8	0.985843	0.0132074	0	0	1.26316	0.908562
0	0	1	0	6	9	0.987941	0.0161462	0	0	0.8	0.909212
0	0	1	1	14	4	0.984678	0.0218066	0	0	0.833333	0.957427
0	10	0	0	3	12	0.863266	0.0584681	0.2692	0.0766004	9.8	2.34379
0	10	0	1	18	4	0.82195	0.0463719	0.239636	0.0969642	11.8636	3.52001
0	10	1	0	13	4	0.851487	0.0373384	0.196706	0.080226	7.41176	2.32781
0	10	1	1	9	9	0.861111	0.0686374	0.250444	0.115951	7.11111	2.64342
0	20	0	0	10	13	0.730409	0.0818085	0.23487	0.0617705	17.9565	3.8615
0	20	0	1	12	14	0.714972	0.0632955	0.561692	0.0773796	19.4615	3.33087
0	20	1	0	10	15	0.764576	0.0603417	0.27192	0.0757585	15.36	2.84084
0	20	1	1	10	11	0.72856	0.0688549	0.393143	0.0676646	16.5238	3.58062
0	30	0	0	14	5	0.765503	0.073861	0.529053	0.0461547	18.5263	3.135
0	30	0	1	8	13	0.64904	0.0758666	0.48619	0.0896148	29.1905	3.9475
0	30	1	0	11	6	0.733429	0.0707436	0.518941	0.0684934	17.1765	3.53529
0	30	1	1	8	10	0.663462	0.0812638	0.666111	0.0505546	20.5	3.14907
0	40	0	0	10	7	0.679208	0.063479	0.525765	0.0581757	27.5882	4.22957
0	40	0	1	9	16	0.558258	0.0672419	0.57264	0.0439517	33.48	5.17007
0	40	1	0	9	8	0.648183	0.0587083	0.474	0.0465264	28.9412	4.6078
0	40	1	1	8	10	0.701862	0.0574419	0.723667	0.0216359	24.0556	3.50353
0	50	0	0	7	10	0.52486	0.062498	0.621412	0.0921885	33.5882	3.74258
0	50	0	1	9	10	0.537765	0.0986582	0.570421	0.103103	34.4737	5.49994
0	50	1	0	9	15	0.580879	0.0910878	0.585417	0.138624	31.7917	4.43452
0	50	1	1	10	11	0.599419	0.0825736	0.574667	0.0295511	29.4762	2.10711
0	60	0	0	13	8	0.535334	0.0429763	0.517905	0.0976963	39.381	3.01546
0	60	0	1	11	11	0.569823	0.0834012	0.532	0.0590439	35.5455	5.06079
0	60	1	0	9	13	0.537746	0.0698605	0.655091	0.0726654	36.5	2.88806
0	60	1	1	9	12	0.53807	0.0935282	0.674952	0.0501412	33.9048	3.97498
0	70	0	0	8	9	0.422094	0.0542813	0.564235	0.0395795	40.6471	4.81348
0	70	0	1	7	10	0.493236	0.0665651	0.604588	0.025766	35.3529	4.26947
0	70	1	0	12	10	0.57489	0.0705329	0.452636	0.179657	40.9091	4.46103
0	70	1	1	7	11	0.569816	0.0601093	0.762444	0.0177333	36.7778	3.85221
0	80	0	0	8	13	0.378966	0.0522279	0.690762	0.0276611	46.3333	4.6428
0	80	0	1	13	9	0.504151	0.0528071	0.720273	0.0461196	36.2273	3.54108
0	80	1	0	12	5	0.528271	0.046156	0.541176	0.0846975	42.1765	5.24949
0	80	1	1	11	8	0.478238	0.0732632	0.636842	0.0458019	43.9474	6.09982
0	90	0	0	13	10	0.376758	0.0507221	0.750957	0.0193985	51.3913	3.73862
0	90	0	1	10	7	0.441631	0.065264	0.794471	0.0191407	39.5882	4.70368
0	90	1	0	11	12	0.496818	0.0673453	0.557739	0.0905429	46.6087	5.84391
0	90	1	1	12	5	0.429135	0.0695713	0.728	0.0332265	42.9412	6.65512
0	100	0	0	7	13	0.362699	0.0592216	0.7786	0.0293809	50.85	3.0541
0	100	0	1	11	9	0.336414	0.0463348	0.7442	0.0333641	56.05	5.23904
0	100	1	0	11	10	0.473557	0.0658866	0.72181	0.0414127	44.5714	3.83681
0	100	1	1	13	8	0.391349	0.0635668	0.802286	0.0307945	42.8571	5.24891
0	110	0	0	7	11	0.298683	0.0567059	0.818222	0.0272347	56.5	3.77492
0	110	0	1	13	9	0.322532	0.0404205	0.817636	0.0200602	55.7273	3.7195
0	110	1	0	9	12	0.469359	0.0498868	0.786286	0.0153348	44.9048	4.20776
0	110	1	1	4	11	0.365345	0.0546119	0.8688	0.0129779	47.8	3.05941
0	120	0	0	6	8	0.338474	0.0386547	0.712571	0.0473071	66.2857	6.81834
0	120	0	1	10	10	0.266631	0.0475186	0.8466	0.0210912	60.9	4.65725
0	120	1	0	9	11	0.449402	0.037915	0.8433	0.00741013	43.95	3.748
0	120	1	1	14	11	0.374486	0.0406339	0.90864	0.010099	45.32	3.18396
0	130	0	0	12	6	0.324915	0.0492033	0.744333	0.0432114	63.3889	6.92932
0	130	0	1	2	5	0.227504	0.0336371	0.885143	0.0103016	56.5714	3.15582
0	130	1	0	15	13	0.399809	0.0479328	0.889786	0.0188932	44.5	3.48978
0	130	1	1	8	13	0.312386	0.0502115	0.91381	0.0131208	52.2381	5.28164
0	140	0	0	14	8	0.353117	0.0701046	0.702909	0.0808044	69.0455	10.5722
0	140	0	1	8	6	0.340728	0.0357256	0.711714	0.0658911	65.9286	9.77215
0	140	1	0	11	10	0.360307	0.0635253	0.913238	0.0150235	49.0952	3.77844
0	140	1	1	8	12	0.332106	0.0490499	0.6369	0.142737	69	7.79102
0	150	0	0	14	11	0.35584	0.0430166	0.69504	0.053364	70.08	5.90539
0	150	0	1	10	8	0.334282	0.0334792	0.730667	0.0398664	67.3889	6.11136
0	150	1	0	9	13	0.349506	0.0489815	0.812091	0.0583048	63.2727	7.34341
0	150	1	1	8	12	0.315579	0.0388171	0.6375	0.0433953	76.4	5.58928
0	160	0	0	9	12	0.349506	0.0428511	0.732571	0.018238	67.5714	5.67007
0	160	0	1	12	8	0.327864	0.0413747	0.7711	0.0252941	67.65	4.94242
0	160	1	0	8	8	0.334185	0.0309529	0.8445	0.0437464	68.125	4.60808
0	160	1	1	9	7	0.274025	0.0668544	0.747	0.0619919	74.3125	8.44629
0	170	0	0	8	7	0.330673	0.0448546	0.7712	0.0153848	72.4667	4.3492
0	170	0	1	8	12	0.32551	0.0449251	0.762	0.0457078	73.25	3.97335
0	170	1	0	11	9	0.310688	0.0336719	0.7209	0.0345513	79.85	8.07016
0	170	1	1	12	6	0.284887	0.0421783	0.730444	0.0143999	81.3333	6
0	180	0	0	10	9	0.299322	0.0351366	0.783684	0.0276083	76.9474	4.37064
0	180	0	1	8	10	0.306882	0.0479722	0.777333	0.0209231	72.7778	8.02465
0	180	1	0	16	7	0.292249	0.0431247	0.758522	0.0526885	74.6087	6.21176
0	180	1	1	4	7	0.258282	0.0236867	0.816909	0.0289119	76.9091	5.91538
0	190	0	0	10	6	0.324748	0.0514186	0.755	0.0598832	81.9375	10.3469
0	190	0	1	8	11	0.31596	0.0494755	0.766105	0.0158609	81.8421	7.6245
