rep	gen	x	y	s	h	freq
0	200	0	0	0.13262	0.346892	0.0581395
0	200	0	0	0.00252996	0.724472	0.0930233
0	200	0	0	0.00879943	0.621601	0.174419
0	200	0	0	0.0593802	0.0189397	0.0116279
0	200	0	0	0.00746551	0.571363	0.209302
0	200	0	0	0.0260804	0.306447	0.186047
0	200	0	0	0.158704	0.24381	0.0581395
0	200	0	0	0.00536779	0.383441	0.0232558
0	200	0	0	0.0318202	0.303047	0.174419
0	200	0	0	0.0578496	0.550743	0.209302
0	200	0	0	0.0216662	0.151793	0.22093
0	200	0	0	0.0276112	0.784563	0.0930233
0	200	0	0	0.0491317	0.570512	0.0116279
0	200	0	0	0.0225409	0.351742	0.0232558
0	200	0	0	0.00992813	0.179345	0.174419
0	200	0	0	0.105508	0.0434431	0.465116
0	200	0	0	0.0655556	0.292037	0.116279
0	200	0	0	0.0715719	0.584441	0.0116279
0	200	0	0	0.0176269	0.414765	0.0581395
0	200	0	0	0.00638545	0.482194	0.139535
0	200	0	0	0.00729792	0.510992	0.290698
0	200	0	0	0.0244695	0.348247	0.0116279
0	200	0	0	0.128451	0.0820647	0.0116279
0	200	0	0	0.0369519	0.39354	0.825581
0	200	0	0	0.0354838	0.0343716	0.0465116
0	200	0	0	0.0697908	0.122353	0.0116279
0	200	0	0	0.0119909	0.0184014	0.290698
0	200	0	1	0.00130061	0.791141	0.0416667
0	200	0	1	0.0158415	0.00442355	0.1875
0	200	0	1	0.0278895	0.236	0.0208333
0	200	0	1	0.028365	0.0361239	0.03125
0	200	0	1	0.112418	0.102318	0.0104167
0	200	0	1	0.0530415	0.277412	0.0208333
0	200	0	1	0.0752676	0.198617	0.0104167
0	200	0	1	0.00163472	0.020424	0.0104167
0	200	0	1	0.0598625	0.254401	0.125
0	200	0	1	0.067924	0.325031	0.0729167
0	200	0	1	0.0727231	0.602698	0.0104167
0	200	0	1	0.0133051	0.823346	0.0208333
0	200	0	1	0.0962412	0.0139655	0.0104167
0	200	0	1	0.0439889	0.16628	0.0729167
0	200	0	1	0.025172	0.720697	0.0208333
0	200	0	1	0.0443566	0.709877	0.0104167
0	200	0	1	0.106481	0.469079	0.135417
0	200	0	1	0.0168612	0.372856	0.0520833
0	200	0	1	0.0116269	0.302256	0.854167
0	200	0	1	0.109965	0.308043	0.0208333
0	200	0	1	0.0424429	0.467234	0.0104167
0	200	0	1	0.271352	0.0682833	0.0520833
0	200	0	1	0.0715747	0.0235695	0.0520833
0	200	0	1	0.0335473	0.576245	0.03125
0	200	0	1	0.010022	0.922831	0.1875
0	200	0	1	0.00146676	0.865964	0.40625
0	200	0	1	0.0728114	0.289986	0.0208333
0	200	0	1	0.0672668	0.506409	0.0208333
0	200	0	1	0.0949947	0.192946	0.333333
0	200	0	1	0.198242	0.0865126	0.0104167
0	200	0	2	0.0640124	0.0751089	0.01
0	200	0	2	0.0340976	0.798373	0.34
0	200	0	2	0.00658717	0.862226	0.01
0	200	0	2	0.00254997	0.261423	1
0	200	0	2	0.00704425	0.600996	0.18
0	200	0	2	0.179585	0.183463	0.03
0	200	0	2	0.0124	0.342532	0.08
0	200	0	2	0.0634719	0.0657017	0.11
0	200	0	2	0.0230067	0.63639	0.01
0	200	0	2	0.0450851	0.450367	1
0	200	0	2	0.106875	0.244541	0.03
0	200	0	2	0.0456259	0.0404893	0.52
0	200	0	2	0.00585837	0.591102	0.62
0	200	0	2	0.0116352	0.341168	0.41
0	200	0	2	0.0264916	0.442899	0.01
0	200	0	2	0.0946347	0.349465	0.1
0	200	0	2	0.00729792	0.510992	0.74
0	200	0	2	0.00984223	0.702732	0.01
0	200	0	2	0.00856302	0.720004	0.27
0	200	0	2	0.0192133	0.127802	0.16
0	200	0	2	0.0394985	0.0381172	0.02
0	200	0	2	0.0253861	0.141988	0.2
0	200	0	2	0.0729924	0.60968	0.01
0	200	0	2	0.0346241	0.597533	0.09
0	200	0	3	0.00277437	0.32571	0.37234
0	200	0	3	0.00181164	0.273925	0.148936
0	200	0	3	0.000459135	0.853532	0.0425532
0	200	0	3	0.00673474	0.177361	0.0212766
0	200	0	3	0.0175764	0.238181	0.0106383
0	200	0	3	0.0137052	0.599873	0.0851064
0	200	0	3	0.0587087	0.601648	0.138298
0	200	0	3	0.102554	0.153364	0.0638298
0	200	0	3	0.0222167	0.208227	0.0319149
0	200	0	3	0.00214094	0.766032	0.0212766
0	200	0	3	0.0674535	0.0935689	0.0106383
0	200	0	3	0.00952906	0.226949	0.0106383
0	200	0	3	0.0528145	0.261499	0.138298
0	200	0	3	0.0135209	0.187379	0.180851
0	200	0	3	0.0148751	0.717065	0.0531915
0	200	0	3	0.0220226	0.167772	0.0744681
0	200	0	3	0.0322618	0.0387896	0.0319149
0	200	0	3	0.0479548	0.133577	0.0319149
0	200	0	3	0.0562652	0.103839	0.0425532
0	200	0	3	0.00419693	0.68252	0.404255
0	200	0	3	0.0314747	0.006509	0.297872
0	200	0	3	0.0500373	0.347084	0.0212766
0	200	0	3	0.00133826	0.0399217	0.0531915
0	200	0	3	0.034528	0.0869209	0.0106383
0	200	0	3	0.0333725	0.697814	0.0106383
0	200	0	3	0.0458999	0.288681	0.0212766
0	200	0	3	0.00260736	0.760937	0.468085
0	200	0	3	0.0477683	0.666082	0.0106383
0	200	0	3	0.0191593	0.165066	0.744681
0	200	0	3	0.00578387	0.78866	0.0638298
0	200	0	3	0.0235119	0.308914	0.0212766
0	200	0	3	0.0338237	0.100928	0.457447
0	200	0	4	0.00947241	0.916588	0.868421
0	200	0	4	0.00710069	0.398814	0.438596
0	200	0	4	0.00956254	0.668345	0.00877193
0	200	0	4	0.0372535	0.111453	0.0175439
0	200	0	4	0.0200169	0.0886092	0.00877193
0	200	0	4	0.00731883	0.854278	0.0175439
0	200	0	4	0.0213845	0.154791	0.00877193
0	200	0	4	0.216833	0.145444	0.00877193
0	200	0	4	0.139089	0.36661	0.105263
0	200	0	4	0.000164877	0.789159	0.0964912
0	200	0	4	0.0282242	0.623418	0.00877193
0	200	0	4	0.0922145	0.325057	0.464912
0	200	0	4	0.0465604	0.193991	0.140351
0	200	0	4	0.0490739	0.0656885	0.0350877
0	200	0	4	0.0116269	0.302256	0.105263
0	200	0	4	0.0100959	0.360501	0.00877193
0	200	0	4	0.0291526	0.0991094	0.00877193
0	200	0	4	0.0269084	0.576665	0.00877193
0	200	0	4	0.00054426	0.418715	0.0789474
0	200	0	4	0.0458189	0.0535764	0.0614035
0	200	0	4	0.116357	0.210699	0.00877193
0	200	0	4	0.0732431	0.335336	0.00877193
0	200	0	4	0.0125449	0.868386	0.00877193
0	200	0	4	0.0270565	0.574449	0.00877193
0	200	0	4	0.0105696	0.173609	0.105263
0	200	0	5	0.0561383	0.262341	0.00862069
0	200	0	5	0.0406424	0.00305515	0.310345
0	200	0	5	0.0976138	0.112619	0.0172414
0	200	0	5	0.00917609	0.327148	0.612069
0	200	0	5	0.0282214	0.515519	0.0172414
0	200	0	5	0.0266258	0.312227	0.0517241
0	200	0	5	0.0159869	0.711635	0.0431034
0	200	0	5	0.0491628	0.374919	0.00862069
0	200	0	5	0.0400222	0.682713	0.00862069
0	200	0	5	0.0850722	0.159375	0.301724
0	200	0	5	0.0562174	0.156752	0.0603448
0	200	0	5	0.036376	0.44221	0.0517241
0	200	0	5	0.0402982	0.27097	0.474138
0	200	0	5	0.00665691	0.863381	0.163793
0	200	0	5	0.132365	0.0467733	0.103448
0	200	0	5	0.00388683	0.133633	0.112069
0	200	0	5	0.090279	0.0409151	0.0862069
0	200	0	5	0.00117707	0.616568	0.568966
0	200	0	5	0.00308409	0.319301	0.189655
0	200	0	5	0.0103953	0.164576	0.163793
0	200	0	5	0.0401942	0.291153	0.00862069
0	200	0	5	0.1904	0.247196	0.12069
0	200	0	5	0.00409675	0.273093	0.12931
0	200	0	5	0.0835472	0.260894	0.310345
0	200	0	5	0.0680847	0.0890892	0.00862069
0	200	0	5	0.0147465	0.319548	0.00862069
0	200	0	5	0.0692247	0.367036	0.00862069
0	200	0	6	0.0528731	0.503073	0.00819672
0	200	0	6	0.132904	0.122216	0.122951
0	200	0	6	0.0227978	0.0492046	0.0245902
0	200	0	6	0.0187094	0.274572	0.00819672
0	200	0	6	0.0194441	0.746383	0.0327869
0	200	0	6	0.0354657	0.119904	0.0327869
